zipcode,lat,long
28395,35.1606,-78.7249
27981,35.8622,-75.6437
27709,36.0512,-78.8577
27040,36.1669,-80.3798
27045,36.2293,-80.2936
27427,36.0726,-79.792
28786,35.5018,-82.9913
28736,35.1882,-83.09
27555,35.5638,-78.2044
28573,35.0151,-77.2287
28250,35.2271,-80.8431
28284,35.2271,-80.8431
28765,35.9219,-82.1107
27306,35.2274,-79.9871
27853,36.5245,-77.326
27930,36.1902,-76.4661
27828,35.5806,-77.5793
28756,35.3338,-82.1557
27025,36.3695,-79.9654
28071,35.5498,-80.3346
28018,35.4533,-81.8118
28746,35.4464,-82.1752
27049,36.5004,-80.6265
27536,36.3301,-78.3981
27606,35.7645,-78.7112
27609,35.848,-78.6317
27621,35.7977,-78.6253
27629,35.8175,-78.5524
27690,35.7977,-78.6253
27928,35.8653,-76.4196
27531,35.343,-77.9644
27896,35.7715,-77.973
27201,36.0318,-79.4856
27244,36.1029,-79.5067
28627,36.4429,-81.0168
28709,35.7748,-82.4567
28641,35.9726,-81.8948
27314,36.2932,-79.2156
28089,35.3182,-81.6607
28308,35.0635,-78.8943
28391,35.0347,-78.6949
27295,35.8684,-80.315
27802,35.9356,-77.7808
27130,36.0275,-80.2073
27260,35.954,-79.9884
27406,36.022,-79.7821
28716,35.5127,-82.8413
27520,35.6348,-78.451
28093,35.4848,-81.2395
27840,35.9446,-77.2097
28273,35.1287,-80.9338
28285,35.2271,-80.8431
28402,34.3405,-77.9014
27243,36.0912,-79.1884
27811,35.5847,-77.5134
27833,35.5804,-77.3926
27834,35.6192,-77.3975
27879,35.5752,-77.2786
28722,35.2532,-82.1971
28125,35.6389,-80.7239
28111,35.0112,-80.5587
28174,34.9847,-80.4476
27563,36.4754,-78.1895
28333,35.2926,-78.0273
27822,35.811,-77.856
28755,35.9096,-82.2132
28664,36.0441,-82.0037
28027,35.4141,-80.6162
28075,35.3247,-80.6594
28575,34.6885,-76.8861
27291,36.4151,-79.1942
28609,35.6757,-81.0503
28020,35.5145,-81.6357
27292,35.8231,-80.262
27707,35.9631,-78.9315
28745,35.5258,-82.9704
27922,36.3333,-76.8746
27524,35.404,-78.4153
28070,35.4107,-80.8429
28130,35.26,-80.8042
28203,35.2081,-80.8583
28204,35.2132,-80.8231
28207,35.1935,-80.8272
28226,35.0869,-80.8167
28288,35.2271,-80.8431
28460,34.5426,-77.4038
28542,34.664,-77.4637
28543,34.7354,-77.3831
27510,35.9055,-79.0901
27599,36.0525,-79.1077
27812,35.7909,-77.3748
27341,35.5283,-79.6979
28380,34.9942,-79.7673
28040,35.3344,-81.7707
28385,35.0515,-78.4714
28718,35.1508,-82.6374
27511,35.7641,-78.7786
27512,35.8084,-78.8395
27650,35.7977,-78.6253
28606,36.0552,-81.3137
27216,36.0475,-79.4797
28623,36.5253,-80.9771
28663,36.5276,-81.3019
27808,35.4702,-76.7715
28452,33.9973,-78.5541
28813,35.5004,-82.5026
28816,35.6203,-82.5286
28603,35.6799,-81.2872
28613,35.7313,-81.2165
28169,35.3615,-81.4287
27006,36.0065,-80.4463
27014,35.8104,-80.5559
28518,34.934,-77.7697
27012,36.0341,-80.3962
28055,35.284,-81.1897
28120,35.3119,-81.0306
27310,36.1673,-79.9804
28792,35.3613,-82.4264
27871,35.8218,-77.26
28224,35.26,-80.8042
28233,35.2271,-80.8431
28269,35.2886,-80.8209
28281,35.2271,-80.8431
28411,34.3033,-77.8039
28443,34.3879,-77.6628
27343,36.5114,-79.0942
27829,35.674,-77.64
28750,35.2362,-82.2362
28375,34.4713,-79.0414
28146,35.6187,-80.4022
27526,35.58,-78.7908
27545,35.7789,-78.4898
27627,35.7977,-78.6253
27698,35.7977,-78.6253
27302,36.0979,-79.2719
27865,35.5758,-76.8076
28748,35.6498,-82.7106
28647,35.9593,-81.9429
28611,35.9946,-81.7266
28645,35.9149,-81.5398
28531,34.6966,-76.5583
28570,34.7551,-76.9069
27379,36.3907,-79.3465
28038,35.197,-81.5386
28526,35.2554,-77.3646
28305,35.056,-78.9047
28466,34.7542,-77.9429
27969,36.4618,-76.8125
28335,35.3063,-78.6089
28725,35.3735,-83.2592
28503,35.3191,-77.595
27857,35.9597,-77.3004
28217,35.1714,-80.9084
28232,35.26,-80.8042
28253,35.26,-80.8042
28260,35.2271,-80.8431
28274,35.1879,-80.8317
27845,36.3896,-77.4214
27877,36.5152,-77.1897
28435,34.4497,-78.0925
27919,36.3096,-76.5436
27985,36.2193,-76.4667
28369,34.4473,-79.031
27048,36.4705,-79.9013
28318,35.0997,-78.6021
27021,36.295,-80.356
27603,35.7076,-78.6563
27610,35.7667,-78.6008
27697,35.7721,-78.6386
27699,35.7977,-78.6253
28740,35.9937,-82.259
28678,35.8661,-81.0641
28681,35.901,-81.2124
28091,34.9689,-79.9721
28617,36.4641,-81.4039
28616,36.0218,-81.9296
28434,34.429,-78.4115
28451,34.268,-78.0578
28759,35.3906,-82.568
28802,35.6237,-82.6671
28594,34.6662,-77.026
27315,36.4873,-79.4041
28602,35.6884,-81.3612
27256,35.5604,-79.2817
27559,35.6306,-79.0839
28432,34.1761,-78.7637
28523,35.2023,-77.2963
28312,34.9549,-78.7408
27943,35.2193,-75.6902
27949,36.0646,-75.7057
27023,36.0967,-80.4206
27099,36.2404,-80.2934
27108,36.0275,-80.2073
27404,36.0726,-79.792
28323,35.3119,-78.8405
28789,35.4469,-83.2872
27569,35.4558,-78.1674
28213,35.2836,-80.7638
28373,35.1007,-79.4663
28144,35.6515,-80.4889
28351,34.8238,-79.5491
27052,36.3189,-80.1484
28110,35.0178,-80.5372
27556,36.3996,-78.3225
27584,36.4946,-78.4236
27625,35.7977,-78.6253
27695,35.7977,-78.6253
27962,35.8508,-76.7431
28607,36.2142,-81.666
28683,36.3562,-80.9317
27813,35.6352,-77.933
28468,33.8836,-78.52
28633,35.914,-81.539
27950,36.5232,-75.9702
27915,35.3521,-75.5104
27701,35.9967,-78.8966
27702,36.0512,-78.8577
27722,35.994,-78.8986
27886,35.8983,-77.5421
28035,35.4993,-80.8486
28098,35.2655,-81.096
27261,36.0807,-80.0244
27425,36.0726,-79.792
28785,35.533,-82.9719
28729,35.3172,-82.5977
28205,35.22,-80.7881
28280,35.2271,-80.8431
27325,35.4528,-79.582
28387,35.1697,-79.3957
28403,34.2237,-77.8862
28412,34.1572,-77.9141
28541,34.6921,-77.3912
27907,36.285,-76.2553
27858,35.5866,-77.3485
27248,35.7917,-79.7132
27289,36.3921,-79.7731
28088,35.5435,-80.6129
28145,35.6827,-80.4771
28043,35.325,-81.846
28329,34.9979,-78.3233
28127,35.4285,-80.2057
28163,35.2106,-80.4407
27523,35.7225,-78.8408
27608,35.8077,-78.6463
27614,35.9457,-78.6433
28365,35.2109,-78.0983
28635,36.31,-81.1161
27359,36.0214,-79.3574
28135,34.9823,-80.1538
28646,36.0665,-81.8704
27814,35.382,-76.925
27821,35.3236,-76.8794
28332,34.6568,-78.7264
28461,33.9654,-78.0359
28465,33.9161,-78.1255
28619,35.7579,-81.6043
28081,35.502,-80.6359
28610,35.7211,-81.1297
28456,34.3471,-78.2575
28463,34.1233,-78.8232
28533,34.9038,-76.9
28562,35.1004,-77.1029
28309,35.0397,-78.8429
28311,35.1294,-78.8982
27968,35.5935,-75.4679
27239,35.6196,-80.0959
27708,36.0287,-78.924
27010,36.183,-80.3387
28053,35.2751,-81.2134
28101,35.2578,-81.0788
27416,36.0726,-79.792
27455,36.1824,-79.806
27855,36.4319,-77.1027
27885,35.4222,-76.2875
28634,35.958,-80.7585
28374,35.1884,-79.4732
27831,36.4761,-77.5719
27842,36.5274,-77.8546
28574,34.8624,-77.5863
27231,36.202,-79.1666
27323,36.3921,-79.7731
28076,35.2579,-81.7962
28444,34.6769,-78.243
27017,36.3698,-80.7101
27518,35.7299,-78.7735
28685,36.3301,-81.0151
27893,35.727,-77.9227
28636,35.9504,-81.0487
28119,34.8511,-80.0025
27849,36.0933,-77.1439
28448,34.4591,-78.2942
28612,35.7429,-81.5134
28637,35.718,-81.4194
28553,34.7265,-76.5173
27213,35.6482,-79.4149
28904,35.0417,-83.7867
28151,35.2924,-81.5356
28152,35.2689,-81.5337
28564,35.1109,-77.0634
28304,35.0257,-78.9705
27923,36.3751,-75.934
27920,35.2677,-75.5424
27948,36.0088,-75.6757
27361,35.8829,-80.276
27801,35.9427,-77.7608
27155,36.0275,-80.2073
27528,35.6555,-78.4611
27823,36.1973,-77.7129
27552,35.4168,-78.9334
28166,35.6863,-80.8822
27577,35.5068,-78.3479
28753,35.8597,-82.7105
27846,35.7839,-76.8983
28126,35.2768,-80.7165
28202,35.229,-80.8419
28255,35.26,-80.8042
28290,35.26,-80.8042
28326,35.3106,-79.3472
28429,34.3236,-77.9108
27832,36.5004,-77.645
27862,36.4937,-77.1911
28545,34.6921,-77.3912
28552,35.306,-76.5777
27320,36.3432,-79.6642
27030,36.5007,-80.6119
27519,35.8072,-78.887
27591,35.798,-78.3926
27611,35.7977,-78.6253
27617,35.9034,-78.7447
27636,35.7977,-78.6253
27534,35.3664,-77.9221
27215,36.0318,-79.4889
28082,35.3463,-80.5411
28083,35.4848,-80.6015
28581,34.8412,-76.4289
28582,34.7777,-77.1308
28042,35.429,-81.5015
27373,36.0101,-80.1392
28325,35.1538,-78.1053
27704,36.0383,-78.8764
27051,36.18,-80.1629
27110,36.0275,-80.2073
27152,36.0275,-80.2073
27525,36.0955,-78.4486
28554,35.4821,-77.5861
27262,35.9734,-80.0107
27313,35.9522,-79.7549
27407,36.0334,-79.8626
27438,36.0726,-79.792
28738,35.4683,-83.0028
27504,35.4037,-78.5421
28105,35.1149,-80.705
28210,35.1316,-80.8577
28263,35.2268,-80.8432
28265,35.2271,-80.8431
28272,35.2271,-80.8431
28299,35.26,-80.8042
27371,35.3777,-79.9093
28370,35.2162,-79.4524
27897,36.325,-77.2107
27517,35.9182,-79.0035
28425,34.5487,-77.9403
27350,35.8298,-79.8986
27288,36.5,-79.759
27375,36.3921,-79.7731
28009,35.406,-80.1167
27041,36.4109,-80.4921
28768,35.2599,-82.6695
27539,35.7225,-78.8408
27540,35.6263,-78.8458
27615,35.8887,-78.6393
28659,36.2017,-81.1286
27340,35.9488,-79.3297
28644,36.4449,-81.2606
28469,33.8913,-78.4298
28701,35.7064,-82.6311
28715,35.5376,-82.7001
27976,36.4536,-76.3033
28511,34.8888,-76.3521
28906,35.1312,-84.0388
27980,36.2502,-76.6428
28472,34.3241,-78.716
27809,36.0067,-77.7074
27881,35.9679,-77.4452
27499,36.0726,-79.792
28758,35.3711,-82.4938
28376,34.989,-79.2228
27960,35.1397,-75.8931
28117,35.584,-80.8685
27841,35.9086,-77.2763
28220,35.26,-80.8042
28237,35.26,-80.8042
27247,35.4514,-79.7834
27804,35.9904,-77.8468
27876,36.4886,-77.4113
27909,36.2951,-76.2445
28360,34.6697,-79.1084
27054,35.7901,-80.6051
28353,34.7818,-79.4824
28097,35.2704,-80.4211
28621,36.2872,-80.8554
28103,35.0167,-80.3781
28108,34.9379,-80.6687
27502,35.7225,-78.8408
27571,35.9156,-78.4658
27616,35.8673,-78.5381
27624,35.7977,-78.6253
27551,36.507,-77.9975
27830,35.5553,-77.958
28578,35.2105,-77.9146
28697,36.1359,-81.1573
27967,36.2257,-76.933
28026,35.3463,-80.5411
28557,34.7253,-76.7531
28579,34.7593,-76.5274
27344,35.7354,-79.4566
28438,34.4204,-78.8947
28455,34.1153,-78.657
28342,35.1899,-78.6483
27927,36.3206,-75.8132
27936,35.2338,-75.6145
27978,35.6985,-75.7728
27028,35.922,-80.537
28458,34.8235,-78.0166
27572,36.2393,-78.9019
27819,35.8178,-77.4533
27117,36.0275,-80.2073
27979,36.4316,-76.6096
27405,36.1214,-79.7733
28368,35.3596,-79.1097
28731,35.289,-82.3916
28784,35.2174,-82.4178
28791,35.3464,-82.525
28677,35.799,-80.894
27568,35.5132,-78.2444
28504,35.206,-77.6576
28223,35.3041,-80.7267
28231,35.26,-80.8042
28315,35.1216,-79.445
27803,35.9238,-77.835
27807,35.8072,-78.0892
27944,36.1685,-76.3731
27835,35.5885,-77.3531
28359,34.6077,-79.0144
28384,34.801,-78.9731
28386,34.8988,-79.1806
27326,36.4428,-79.5606
28072,35.6109,-80.4361
28772,35.1437,-82.8212
28692,36.2574,-81.7652
27894,35.7158,-77.9043
27055,36.1277,-80.653
28604,36.1705,-81.8412
28470,33.9637,-78.4064
28815,35.6203,-82.5286
28671,35.7485,-81.5226
27921,36.325,-76.15
28516,34.758,-76.6228
28781,35.2151,-83.6461
27705,36.0218,-78.9478
27115,36.0999,-80.2442
27574,36.3942,-78.9863
27233,35.9345,-79.7019
27435,36.0726,-79.792
27844,36.259,-77.9319
28727,35.394,-82.3409
27818,36.5015,-77.0094
28036,35.4858,-80.794
28209,35.1796,-80.8559
28235,35.26,-80.8042
28350,35.2438,-79.3086
27866,36.5212,-77.5192
27516,35.9162,-79.0999
27541,36.2518,-79.0827
27827,35.6966,-77.5132
27298,35.8729,-79.5821
27316,35.7143,-79.6469
28109,35.4849,-80.2884
27024,36.503,-80.7889
28713,35.4241,-83.4392
27604,35.8334,-78.5799
28714,35.903,-82.2876
28672,36.4833,-81.3276
28399,34.7662,-78.7301
28728,35.4988,-82.708
28801,35.5971,-82.5565
28806,35.5808,-82.6078
28661,35.9973,-81.5626
28650,35.5759,-81.1745
28073,35.1836,-81.4552
28439,34.3023,-79.0175
28442,34.3181,-78.6043
28532,34.8968,-76.89
28344,35.1969,-78.6625
27703,35.9781,-78.8439
27712,36.0918,-78.9299
27114,36.0999,-80.2442
27522,36.1224,-78.6861
27887,36.2352,-77.5026
28721,35.5597,-82.9216
28710,35.4515,-82.2871
28735,35.4759,-82.3505
28258,35.26,-80.8042
28270,35.1355,-80.7669
27209,35.3599,-79.7798
27242,35.336,-79.631
27376,35.2512,-79.536
27868,36.0548,-77.9116
28449,33.9927,-77.9099
28544,34.727,-77.32
28547,34.6909,-77.3614
27514,35.9203,-79.0372
27573,36.4059,-78.9737
28328,35.0151,-78.326
27016,36.4559,-80.2194
27046,36.49,-80.0859
27053,36.4674,-80.3677
27553,36.4603,-78.2952
27513,35.7956,-78.7941
27588,35.9731,-78.4508
27592,35.547,-78.6717
28133,35.0054,-80.2829
28640,36.409,-81.4396
28694,36.3776,-81.4872
27847,36.1871,-77.1898
28392,34.7465,-78.8134
28787,35.7126,-82.5491
28638,35.8403,-81.4897
28114,35.2295,-81.7492
28150,35.312,-81.5568
28563,35.1109,-77.0634
28348,34.9536,-78.9354
28356,35.2276,-78.8004
27954,35.8948,-75.6714
28453,34.8957,-78.0432
28521,34.8276,-77.7636
27503,36.1566,-78.8903
27864,35.7885,-77.6378
28034,35.3349,-81.1862
28580,35.4438,-77.6956
27264,36.0807,-80.0244
27301,36.1163,-79.6684
27497,36.0798,-79.8282
27874,36.1301,-77.4273
27861,35.8165,-77.3141
28228,35.26,-80.8042
27856,35.9843,-77.9595
27867,36.3632,-77.2391
27869,36.2773,-77.2969
28445,34.4954,-77.555
28513,35.4565,-77.4051
27317,35.8488,-79.8018
28330,34.9129,-79.822
28271,35.216,-80.8358
27043,36.3339,-80.4391
28676,36.3422,-80.8653
28712,35.2208,-82.7404
28774,35.0666,-83.0019
27560,35.8344,-78.8466
27613,35.8949,-78.7051
28608,36.2168,-81.6746
28649,36.3103,-81.1912
27873,35.6538,-77.7755
27011,36.234,-80.6357
28668,36.3836,-81.0188
28675,36.5089,-81.1384
27860,35.6201,-76.6988
28730,35.5258,-82.3985
28810,35.6203,-82.5286
28666,35.7274,-81.4706
28520,35.0082,-76.316
27312,35.7694,-79.1755
27929,36.4398,-76.0055
27973,36.3779,-76.0945
27953,35.8238,-75.8467
27098,36.2404,-80.2934
27199,36.0999,-80.2442
28733,35.4231,-83.7795
27581,36.1999,-78.7222
27377,36.033,-79.5972
27839,36.3049,-77.5607
28687,35.7826,-80.8873
27576,35.5565,-78.264
27330,35.4698,-79.1717
27331,35.4799,-79.1803
27332,35.4469,-79.138
28525,35.163,-77.6928
28734,35.181,-83.3885
28078,35.4011,-80.8695
28134,35.0709,-80.8859
28234,35.26,-80.8042
28262,35.3183,-80.7476
27356,35.4211,-79.7826
28409,34.1663,-77.8723
28454,34.6594,-77.7117
27355,35.796,-79.5514
28345,34.8894,-79.7022
28340,34.472,-79.1407
28377,34.8083,-79.1636
28766,35.2524,-82.6222
27628,35.7977,-78.6253
27883,35.594,-77.8378
28007,35.1046,-80.1092
28462,34.0231,-78.2884
28776,35.4835,-82.5207
28690,35.7447,-81.567
28630,35.7965,-81.4306
27311,36.4899,-79.4736
28658,35.6498,-81.2425
27965,36.2737,-75.9097
27715,36.0512,-78.8577
27508,35.9577,-78.2498
28052,35.2449,-81.2194
27249,36.1183,-79.5685
27870,36.4461,-77.6731
27546,35.332,-78.9212
28790,35.2153,-82.4574
28707,35.4268,-83.0851
28779,35.3481,-83.2031
28092,35.4851,-81.1818
28212,35.1908,-80.7448
28219,35.26,-80.8042
27281,35.2259,-79.6685
28406,34.0881,-77.8526
28410,34.0881,-77.8526
28480,34.2228,-77.7932
28587,35.1913,-76.6604
28782,35.2157,-82.2394
28379,34.9336,-79.7666
28378,34.8543,-79.0642
28041,35.5817,-80.4581
28002,35.3501,-80.2001
27031,36.3994,-80.7081
27612,35.852,-78.6841
27635,35.7977,-78.6253
27668,35.7977,-78.6253
28605,36.1355,-81.6996
28711,35.5986,-82.2902
27305,36.5158,-79.2087
28586,35.3063,-77.1716
27157,36.0275,-80.2073
27926,36.5179,-76.5979
27358,36.2245,-79.8901
27413,36.0726,-79.792
27495,36.0726,-79.792
27890,36.4206,-77.6035
27824,35.5149,-76.0303
28501,35.2783,-77.586
28551,35.3054,-77.7686
28763,35.0515,-83.3854
28743,35.8082,-82.9005
28206,35.2522,-80.8265
28230,35.26,-80.8042
28289,35.2271,-80.8431
28705,36.0286,-82.1711
28777,35.906,-82.0705
27229,35.2234,-79.7876
28408,34.2257,-77.9447
28539,34.6993,-77.2079
28540,34.7375,-77.4628
27515,35.9132,-79.0558
28556,35.1224,-76.6719
28457,34.4344,-77.9234
28139,35.3706,-81.9781
27047,36.3002,-80.5772
28708,35.2298,-82.8779
27544,36.2042,-78.4241
27605,35.7908,-78.653
27658,35.7977,-78.6253
27970,35.8994,-76.5809
28698,36.3194,-81.7476
27533,35.372,-78.0524
28170,34.9809,-80.0696
28693,36.4572,-81.5465
27806,35.3023,-76.7994
28320,34.5658,-78.7793
28770,35.6186,-82.3005
28025,35.3716,-80.53
28107,35.2477,-80.5319
28577,34.8769,-76.3898
28682,35.5836,-80.9631
28136,35.3961,-81.6303
28301,35.0743,-78.8836
28302,35.0343,-78.9088
28306,35.0019,-78.9364
27966,36.1207,-75.8273
27107,36.0403,-80.1933
27111,36.0999,-80.2442
27285,36.1199,-80.0737
27509,36.1359,-78.7636
27527,35.6577,-78.3837
27268,35.9698,-79.9936
27342,36.0756,-79.6206
27408,36.1064,-79.8165
27415,36.0726,-79.792
27501,35.4897,-78.7249
28724,35.3293,-82.3754
28760,35.3817,-82.4813
28717,35.0971,-83.0871
28788,35.3462,-83.2193
28502,35.2627,-77.5816
28080,35.4657,-81.107
28168,35.5188,-81.4589
28241,35.2271,-80.8431
28509,35.1449,-76.8022
28537,35.2518,-76.5696
27203,35.7323,-79.7893
27013,35.7374,-80.7113
27042,36.3482,-80.0495
27601,35.7727,-78.6324
27594,36.4865,-78.1708
28665,36.1964,-81.3528
27880,35.7435,-78.0859
27258,36.0915,-79.3642
28662,36.0285,-81.8915
28404,34.2257,-77.9447
28420,34.0659,-78.5056
28459,33.9334,-78.4129
28805,35.6004,-82.4918
28814,35.6648,-82.4927
28528,34.7344,-76.5394
28527,35.2547,-77.0502
27939,36.2339,-75.8768
27956,36.3987,-76.0039
27982,35.565,-75.4663
27713,35.9112,-78.9178
27717,36.0512,-78.8577
27105,36.144,-80.2376
27106,36.1428,-80.3069
27120,36.0999,-80.2442
27127,36.0425,-80.2609
27284,36.1165,-80.0831
27549,36.0578,-78.2586
28021,35.3747,-81.3509
28056,35.2172,-81.1252
28538,35.438,-77.5656
27403,36.0641,-79.8202
27543,35.4799,-78.8211
28334,35.3165,-78.6151
28742,35.3432,-82.5565
27875,35.4717,-76.4951
28355,35.3896,-79.1945
28752,35.6819,-82.018
28031,35.4733,-80.8726
28218,35.26,-80.8042
28242,35.26,-80.8042
28244,35.2271,-80.8431
28275,35.2271,-80.8431
27259,35.4921,-79.479
28428,34.0366,-77.8963
28515,35.1526,-76.7518
28421,34.5304,-78.1671
28319,34.4088,-79.0467
28039,35.6805,-80.4354
28441,34.7897,-78.4309
27022,36.5132,-80.2103
28747,35.1451,-82.9191
27562,35.6809,-78.9365
28624,36.1283,-81.3864
27202,36.1855,-79.5055
27349,35.9066,-79.4279
27924,36.1901,-76.8548
28479,34.1553,-78.0558
28778,35.6172,-82.407
28804,35.6374,-82.5646
